Year,Species,Tonnes,Days,CPUE,y,yhat1
2007,Grey Mackerel,983.3391142,4584,0.214515513568935,0.117859609735512,0.0221484404433866
2008,Grey Mackerel,1021.008297,4134,0.246978301161103,0.140918423135296,0.00997114396985078
2009,Grey Mackerel,830.0111924,3560,0.233149211348315,-0.0576218425637252,0.00514362416953265
2010,Grey Mackerel,1056.308745,2631,0.401485649942987,0.543493150979666,0.0318850716151194
2011,Grey Mackerel,1081.641187,2759,0.392041024646611,-0.0238053026094476,-0.0273088091360862
2012,Grey Mackerel,984.8378476,2648,0.371917616163142,-0.0526941212054874,-0.0244908414435115
2013,Grey Mackerel,689.160493,2387,0.288714073313783,-0.253235535148908,-0.0129592268873982
2014,Grey Mackerel,782.144273,2786,0.280740945082556,-0.0280044921724401,0.0176533974693649
2015,Grey Mackerel,891.021766,2947,0.302348749915168,0.0741488116501896,0.0140028559162868
2016,Grey Mackerel,822.61987,2996,0.274572720293725,-0.096365007181098,0.00181016177612119
2017,Grey Mackerel,709.2406392,2682,0.264444682774049,-0.0375840543922408,0.0175642493532512
2018,Grey Mackerel,850.6857946,2511,0.338783669693349,0.247729670608068,0.0286237920876684
2019,Grey Mackerel,679.8162661,2005,0.339060481845387,0.000816742806727611,0.00565529314463216
2020,Grey Mackerel,848.835486,1788,0.474740204697987,0.336589212941763,0.0148646568012486
1990,Tropical Rock Lobster,6.287,275,0.0228618181818182,,
1991,Tropical Rock Lobster,10.0347,463,0.0216732181425486,-0.0533908793853795,0.49368724060633
1992,Tropical Rock Lobster,8.459500001,301,0.028104651166113,0.259857773237076,0.502625602667202
1993,Tropical Rock Lobster,21.93605668,326,0.0672885174233129,0.873054519744243,0.459887181935809
1994,Tropical Rock Lobster,35.41261335,352,0.100604015198864,0.402202565070285,0.278857349144967
1995,Tropical Rock Lobster,48.88917003,377,0.129679496100796,0.253873822324603,0.193445527405968
1996,Tropical Rock Lobster,70.22837,581,0.120874991394148,-0.0703091091301551,0.125121141668193
1997,Tropical Rock Lobster,65.12154001,959,0.0679056725860271,-0.576637308261596,0.0967810200565709
1998,Tropical Rock Lobster,90.9703,802,0.113429301745636,0.51306017641907,0.197698303966335
1999,Tropical Rock Lobster,139.26747,1267,0.1099190765588,-0.0314353233257259,0.0709547610268565
2000,Tropical Rock Lobster,157.54138,1784,0.0883079484304933,-0.218914307649834,0.00542946276718062
2001,Tropical Rock Lobster,206.597746,2760,0.0748542557971015,-0.165287152833069,-0.0594426470494186
2002,Tropical Rock Lobster,116.697256,1425,0.0818928112280702,0.0898682450875281,0.000411492979064315
2003,Tropical Rock Lobster,104.013245,532,0.195513618421053,0.870218824428505,0.145311549543962
2004,Tropical Rock Lobster,186.734741,726,0.257210387052342,0.274264340223937,0.0197778145695246
2005,Tropical Rock Lobster,142.421789,689,0.206707966618287,-0.218587368784416,-0.0474150073798576
2006,Tropical Rock Lobster,203.396805,1115,0.182418659192825,-0.125002637267158,-0.0315107268022838
2007,Tropical Rock Lobster,239.480123,1166,0.205386040308748,0.118586961127144,-0.0410551997034846
2008,Tropical Rock Lobster,243.887161,1162,0.209885680722892,0.0216716732386497,-0.0685789021924809
2009,Tropical Rock Lobster,198.474227,1007,0.197094565044687,-0.0628793658100955,-0.0613367368661238
2010,Tropical Rock Lobster,118.495195,584,0.202902731164384,0.0290430682136762,-0.0062422183946004
2011,Tropical Rock Lobster,141.15534,544,0.259476727941177,0.245940310819819,0.0217640406991164
2012,Tropical Rock Lobster,154.4278,583,0.264884734133791,0.020627747624814,-0.0281070767723489
2013,Tropical Rock Lobster,181.03935,720,0.251443541666667,-0.0520762879043066,-0.0451840384814185
2014,Tropical Rock Lobster,176.7776,821,0.215319853836784,-0.155093863050155,-0.0520367120340553
2015,Tropical Rock Lobster,123.92499,854,0.145111229508197,-0.394624066467714,-0.030353663447304
2016,Tropical Rock Lobster,198.45069,895,0.22173261452514,0.423971668470412,0.0443656884924274
2017,Tropical Rock Lobster,186.6357,702,0.265862820512821,0.181508246521881,-0.0306015966173034
2018,Tropical Rock Lobster,162.85304,1026,0.158726159844055,-0.51580001111368,-0.0770540595037074
2019,Tropical Rock Lobster,104.68303,685,0.152821941605839,-0.0379069889646233,0.0289367072037876
2020,Tropical Rock Lobster,115.22284,572,0.201438531468531,0.276210816781104,0.0698797396618815
1990,Spanish Mackerel,574.96796,9604,0.0598675510204082,,
1991,Spanish Mackerel,515.982905,7881,0.0654717554878822,0.089484196569583,0.124529974962594
1992,Spanish Mackerel,613.295741,8885,0.0690259697242544,0.0528639708857765,0.0654049839559843
1993,Spanish Mackerel,691.6382351,10536,0.0656452387148823,-0.0502177337707383,-0.00751866820833724
1994,Spanish Mackerel,701.827299,10456,0.0671219681522571,0.0222463117859388,0.0112583418166612
1995,Spanish Mackerel,593.6317527,9442,0.0628713993539504,-0.0654200245735339,0.00785090354721762
1996,Spanish Mackerel,685.0894808,11856,0.0577842004723347,-0.0843759699613345,0.0402890279495525
1997,Spanish Mackerel,975.6811659,15639,0.0623876952426626,0.0766526742241691,0.0279506610025375
1998,Spanish Mackerel,806.2097018,13708,0.0588130800846221,-0.0590037837216619,-0.0531424504656561
1999,Spanish Mackerel,978.7335716,15088,0.0648683438229056,0.097995455605127,-0.0015103725664054
2000,Spanish Mackerel,765.8111472,13609,0.0562724040855316,-0.142155479549941,-0.0747515619503829
2001,Spanish Mackerel,845.4084341,15603,0.0541824286419278,-0.0378475955553585,0.0269127426232789
2002,Spanish Mackerel,1012.197377,16779,0.0603252504320877,0.107394101799231,0.0165633460100576
2003,Spanish Mackerel,953.8034456,17146,0.055628335798437,-0.0810580547855428,-0.0840766973196478
2004,Spanish Mackerel,582.1566868,9716,0.0599173205846027,0.0742729135653861,0.0646517123994919
2005,Spanish Mackerel,533.8286345,8384,0.0636723085042939,0.0607841290393094,0.116311267012601
2006,Spanish Mackerel,468.886028,6680,0.0701925191616767,0.0974919900017599,0.107579034814142
2007,Spanish Mackerel,526.9396337,7631,0.0690525008124754,-0.0163746440908432,0.0427887586902771
2008,Spanish Mackerel,599.3453577,7599,0.078871609119621,0.13295423276375,0.0438934812594409
2009,Spanish Mackerel,643.6552656,8635,0.074540273954835,-0.0564817600606116,-0.0695190124552463
2010,Spanish Mackerel,618.3664252,9086,0.0680570575830949,-0.0909931338693135,-0.0449459571268742
2011,Spanish Mackerel,613.6340658,8245,0.0744249928198908,0.0894453749795572,0.029007251813653
2012,Spanish Mackerel,548.966785,7069,0.0776583371056726,0.0425271011523036,-0.0140748833808442
2013,Spanish Mackerel,535.4300483,6327,0.0846262127864707,0.085925150852495,-0.0227271457376226
2014,Spanish Mackerel,604.803125,8022,0.0753930597107953,-0.11552883793074,-0.0997750967171454
2015,Spanish Mackerel,495.338642,7139,0.0693848777139655,-0.0830462811075816,-0.0220074258505927
2016,Spanish Mackerel,521.891901,6504,0.080241682195572,0.145374164591038,0.0598233507550414
2017,Spanish Mackerel,564.9927792,7212,0.0783406515806988,-0.0239764624382124,-0.0515407297893962
2018,Spanish Mackerel,481.334766,6765,0.0711507414634146,-0.0962658999349375,-0.036541966789766
2019,Spanish Mackerel,485.432611,6732,0.0721082309863339,0.0133674528614049,0.0425280563567025
2020,Spanish Mackerel,465.1484625,5818,0.0799498904262633,0.103231870277556,0.044053776796074
1990,Western King Prawn,,,,,
1991,Western King Prawn,,,,,
1992,Western King Prawn,,,,,
1993,Western King Prawn,,,,,
1994,Western King Prawn,,,,,
1995,Western King Prawn,,,,,
1996,Western King Prawn,,,,,
1997,Western King Prawn,,,,,
1998,Western King Prawn,,,,,
1999,Western King Prawn,,,,,
2000,Western King Prawn,3.265,65,0.0502307692307692,,
2001,Western King Prawn,10.8597,221,0.0491389140271493,-0.021976504535671,-0.0139976511284123
2002,Western King Prawn,14.145768,435,0.0325190068965517,-0.412826521302332,0.00126280946809976
2003,Western King Prawn,241.543052,5466,0.0441900936699598,0.306675892872943,0.317315348094052
2004,Western King Prawn,220.0077,5626,0.03910552790615,-0.122236803177624,-0.0740553620554643
2005,Western King Prawn,197.531,6382,0.0309512691946098,-0.23384982947902,0.0305036728924839
2006,Western King Prawn,164.068,4717,0.0347822768708925,0.116693965538241,0.276393093684581
2007,Western King Prawn,202.1955,4170,0.0484881294964029,0.332211043603701,0.199622543133499
2008,Western King Prawn,111.0686,3430,0.0323815160349854,-0.403731248077118,-0.105264436282622
2009,Western King Prawn,154.7031,3531,0.0438128292268479,0.302338911958727,0.303221685920124
2010,Western King Prawn,152.863,2903,0.0526569066482949,0.183870731164308,0.0146483201230869
2011,Western King Prawn,75.8487,2462,0.0308077579203899,-0.536030871585956,-0.147953261914515
2012,Western King Prawn,136.6176,3029,0.0451032023770221,0.38118671133512,0.37760068461106
2013,Western King Prawn,143.8045,2980,0.0482565436241611,0.0675781876129342,-0.00660526193984357
2014,Western King Prawn,177.895,3053,0.0582689158205044,0.188537337103583,-0.0735498727606148
2015,Western King Prawn,150.6882,2923,0.0515525829627095,-0.122466459669876,-0.258183662087567
2016,Western King Prawn,181.6748,3807,0.0477212503283425,-0.077225516942053,-0.15060708858381
2017,Western King Prawn,176.88025,3574,0.0494908365976497,0.0364107349637632,-0.0857956322387974
2018,Western King Prawn,145.260675,2891,0.0502458232445521,0.0151398907746025,-0.105858472250918
2019,Western King Prawn,126.6217,2916,0.0434230795610425,-0.145936337094673,-0.109425695158712
2020,Western King Prawn,218.731,2849,0.0767746577746578,0.569883521928303,0.0349730640529176
1990,Redspot King Prawn,2386.3254,42467,0.0561924647373255,,
1991,Redspot King Prawn,2829.9498,47708,0.0593181395153853,0.0541324847444526,0.0285054597975352
1992,Redspot King Prawn,2644.025506,46833,0.05645646245169,-0.0494453882178716,-0.028673411559041
1993,Redspot King Prawn,2543.953353,44194,0.0575633197492872,0.0194157899143259,0.023306380791257
1994,Redspot King Prawn,2269.164527,41246,0.0550153839645057,-0.0452727003771707,0.00654373298566258
1995,Redspot King Prawn,3070.815024,45471,0.0675334834070067,0.205010670793378,0.0517833447902318
1996,Redspot King Prawn,3472.001091,55653,0.0623865935529082,-0.0792731199763366,-0.163650241158576
1997,Redspot King Prawn,2764.212631,52934,0.0522199839611592,-0.177885149252829,-0.0871722284898451
1998,Redspot King Prawn,3315.569051,56039,0.0591653857313657,0.124871414271157,0.0930083547743683
1999,Redspot King Prawn,2813.425453,47776,0.0588878401917281,-0.0047020494158958,-0.0309152217763153
2000,Redspot King Prawn,1438.973522,32222,0.0446581069455651,-0.276598763615074,-0.0136749456911232
2001,Redspot King Prawn,1101.469688,20637,0.0533735372389398,0.178279208442499,0.281019195019194
2002,Redspot King Prawn,1656.704281,24029,0.068946035249074,0.256009034945866,0.104527292994874
2003,Redspot King Prawn,916.233493,12715,0.0720592601651593,0.044164737579437,-0.150927690373425
2004,Redspot King Prawn,510.287108,8247,0.0618754829635019,-0.152364812009987,-0.187447984021561
2005,Redspot King Prawn,394.3365,7025,0.0561333096085409,-0.097394635839799,-0.0299642442627022
2006,Redspot King Prawn,271.4983,5244,0.0517731311975591,-0.0808580785465267,0.070370430196026
2007,Redspot King Prawn,239.768,5032,0.0476486486486487,-0.0830170421891574,0.153407451772577
2008,Redspot King Prawn,299.025,4010,0.074569825436409,0.447881670863404,0.238236287445496
2009,Redspot King Prawn,352.7705,4944,0.0713532564724919,-0.0440929569159274,-0.21588771329661
2010,Redspot King Prawn,351.505,4807,0.0731235697940503,0.024507763287668,-0.171593032488702
2011,Redspot King Prawn,113.8178,2417,0.0470905254447662,-0.44007892448668,-0.195121579404439
2012,Redspot King Prawn,265.62175,3523,0.0753964660800454,0.470688582448499,0.251808586459674
2013,Redspot King Prawn,227.5875,3774,0.0603040540540541,-0.223361072066885,-0.226199250593937
2014,Redspot King Prawn,171.9065,3489,0.0492709945543136,-0.202063770732647,0.000315694042829051
2015,Redspot King Prawn,147.96025,2479,0.0596854578459056,0.191752841404544,0.205894635909699
2016,Redspot King Prawn,223.041375,3075,0.0725337804878049,0.19496398755254,0.0116663117718887
2017,Redspot King Prawn,206.2585,3181,0.0648407733417164,-0.112117767388364,-0.186402633171107
